word,src,timestep,PC1,PC2
講,weibo,8,0.3853686,-0.091361165
說法,weibo,8,-0.10371201,-0.077298455
重點,weibo,8,-0.15359545,-0.101435244
祖國,weibo,8,0.02272924,-0.06328128
著名,weibo,8,-0.18705562,-0.40288773
不了,weibo,8,0.23833923,0.1424098
百姓,weibo,8,0.1511493,0.2711466
夢想,weibo,8,0.27948222,-0.06969436
啤酒,weibo,8,0.43115982,-0.23432046
記,weibo,8,0.2849031,-0.39622933
全程,weibo,8,0.052940495,-0.13254437
優秀,weibo,8,0.22747298,-0.06549993
被,weibo,8,-0.05782771,-0.30004716
噁心,weibo,8,0.4142939,0.03602132
看見,weibo,8,0.37518698,-0.17331183
農民,weibo,8,-0.21269643,0.15046118
過度,weibo,8,-0.20063184,0.24849099
人才,weibo,8,-0.54425013,0.024995882
師,weibo,8,0.0021376614,-0.21708359
令人,weibo,8,0.23382415,-0.112491354
每個,weibo,8,0.028776063,0.030347465
史,weibo,8,-0.11203091,-0.1782418
份,weibo,8,-0.05245419,-0.3559735
冠軍,weibo,8,-0.12003527,-0.60391915
出,weibo,8,0.055494882,-0.124484554
使用,weibo,8,-0.195167,-0.15833941
圖,weibo,8,-0.0046664425,-0.463967
不論,weibo,8,0.06774814,0.1833483
民主,weibo,8,-0.13000588,0.2519909
整體,weibo,8,0.14859614,0.009020284
訪問,weibo,8,-0.29951292,-0.16850448
果然,weibo,8,0.4552836,-0.20109607
叫,weibo,8,0.37121204,-0.14479466
歡樂,weibo,8,0.076444216,-0.32631665
在家,weibo,8,0.4086997,-0.2117327
有趣,weibo,8,0.23995301,-0.10007633
遊客,weibo,8,-0.093136564,0.0130638145
高度,weibo,8,-0.35061362,-0.15251444
透露,weibo,8,-0.24387832,-0.11412843
對,weibo,8,-0.14532626,0.051229052
量,weibo,8,0.13763861,-0.04741972
形象,weibo,8,0.038332913,0.046801783
防疫,weibo,8,-0.5529856,-0.115873955
一帶,weibo,8,-0.108951785,0.19057572
攝影,weibo,8,-0.022506637,-0.47155768
越,weibo,8,0.27107438,-0.1878507
叫做,weibo,8,0.32173446,-0.06376328
水,weibo,8,0.123241924,-0.4344467
出手,weibo,8,-0.09189364,0.21527801
都,weibo,8,0.20494443,-0.09606054
獨特,weibo,8,0.095957436,-0.19103006
同時,weibo,8,-0.22805855,0.029358925
之一,weibo,8,-0.22603059,-0.09117975
正確,weibo,8,-0.18126236,0.21799266
絕不,weibo,8,-0.025200633,0.25792748
總理,weibo,8,-0.2736608,0.07356532
打擊,weibo,8,-0.27386558,0.26667717
很難,weibo,8,0.19492838,0.25387865
些,weibo,8,0.39397052,0.06739808
臺灣人,weibo,8,0.21894546,-0.019172039
解決,weibo,8,-0.040809445,0.14088692
剛,weibo,8,0.2792657,-0.15242027
駐,weibo,8,-0.28051528,-0.10838021
徹底,weibo,8,-0.2458917,0.22674248
般的,weibo,8,0.33866218,0.083263256
展,weibo,8,-0.34948552,-0.34711352
專門,weibo,8,0.026140364,0.020154819
抹黑,weibo,8,-0.1181599,0.29237658
規則,weibo,8,-0.011915434,0.2661676
海,weibo,8,-0.16112515,-0.30045
日常,weibo,8,0.30517548,-0.28469288
歐洲,weibo,8,-0.209824,-0.14212771
新冠,weibo,8,-0.47254336,-0.20039687
優先,weibo,8,-0.52188253,-0.11944164
法,weibo,8,-0.25234994,-0.2015777
重要,weibo,8,-0.15279818,0.079385646
那天,weibo,8,0.24934314,-0.072667256
分手,weibo,8,0.12681428,-0.15660344
暑假,weibo,8,0.2799053,-0.081476234
浪費,weibo,8,0.28680602,0.16621932
親自,weibo,8,0.021216137,-0.1851238
行徑,weibo,8,-0.24767701,0.24263537
大選,weibo,8,-0.15242063,0.044060733
幾次,weibo,8,0.40779337,0.07934807
陷入,weibo,8,-0.08509164,0.25564784
影響力,weibo,8,-0.23385103,0.12645581
印尼,weibo,8,-0.21908559,-0.33132857
片段,weibo,8,0.36032385,-0.12639984
恐怖,weibo,8,-0.007881396,0.025196042
出現,weibo,8,-0.21659926,-0.1953979
品牌,weibo,8,-0.34383166,-0.30664238
遺憾,weibo,8,0.3158036,0.16174498
自殺,weibo,8,0.2808296,0.11464092
行業,weibo,8,-0.12270089,0.056718674
參考,weibo,8,-0.22904912,-0.2770975
講述,weibo,8,-0.045756944,-0.22873256
歐美,weibo,8,-0.17013413,0.15555772
發行,weibo,8,-0.16588335,-0.46285433
那時,weibo,8,0.36500594,0.08172962
呢,weibo,8,0.35339183,-0.10860716
某,weibo,8,-0.04173735,-0.26224628
若,weibo,8,-0.27834108,0.09031526
性格,weibo,8,0.39898297,-0.22251534
某種,weibo,8,0.046804067,0.24944451
英文,weibo,8,-0.14682972,-0.04940733
談,weibo,8,-0.031515338,-0.17487225
形成,weibo,8,-0.25811827,0.09377093
生命,weibo,8,-0.0035860178,0.010851028
廣泛,weibo,8,-0.24233389,-0.03209479
災難,weibo,8,-0.048285224,0.1546266
抵制,weibo,8,0.06032183,0.055345744
得知,weibo,8,-0.033539098,-0.12456721
急,weibo,8,-0.06022137,0.031880435
華人,weibo,8,-0.2411027,-0.059554756
不過,weibo,8,0.21229164,-0.0638779
事,weibo,8,0.17043945,-0.0027271314
小孩子,weibo,8,0.34161103,0.020981116
一下,weibo,8,0.2974192,-0.16760667
取消,weibo,8,-0.25370115,-0.038374074
價值觀,weibo,8,-0.13233091,0.20516618
議題,weibo,8,-0.4051461,0.18676431
外界,weibo,8,-0.27775794,0.17087105
拖,weibo,8,0.13880327,0.05884294
東部,weibo,8,-0.45713067,-0.2575943
跪,weibo,8,0.44568428,-0.06446718
四大,weibo,8,-0.2265527,0.09087001
雙方,weibo,8,-0.24505031,0.25624487
眼中,weibo,8,0.21333447,0.12481377
比,weibo,8,0.017781457,-0.15508899
指揮中心,weibo,8,-0.5344237,-0.31754795
本身,weibo,8,-0.021608075,0.20562504
東北,weibo,8,0.26392063,-0.11071957
集體,weibo,8,-0.19500294,-0.028652435
眼睛,weibo,8,0.3167849,-0.15398374
公然,weibo,8,-0.31329727,0.04552037
幹,weibo,8,0.37564215,0.02040144
勇敢,weibo,8,0.2501071,0.24245226
換,weibo,8,0.18541308,-0.035319842
不少,weibo,8,-0.005979494,0.09468038
此前,weibo,8,-0.47352883,-0.043197785
有意,weibo,8,-0.07898801,0.09025342
耶,weibo,8,0.41222358,-0.22229746
非法,weibo,8,-0.61911714,-0.0057689324
正式,weibo,8,-0.33383787,-0.3342376
懶,weibo,8,0.38972345,-0.11383862
滿滿,weibo,8,0.47071922,-0.117660664
忘,weibo,8,0.20982505,-0.038239673
堅強,weibo,8,0.34348065,-0.013184294
老師,weibo,8,0.25897545,-0.23059168
最近,weibo,8,0.21388116,-0.235213
逐步,weibo,8,-0.47027886,0.15541923
時光,weibo,8,0.27371767,-0.18647256
因,weibo,8,-0.20009936,-0.20198545
男女,weibo,8,0.21208392,-0.12005752
圈,weibo,8,0.11277494,-0.35955226
交易,weibo,8,-0.3290898,0.15592417
一線,weibo,8,-0.022309976,-0.0030929807
囂張,weibo,8,0.25733474,0.13279651
到位,weibo,8,0.017212173,0.062086962
肉,weibo,8,0.2731847,-0.22977848
太,weibo,8,0.34987637,-0.16503784
無限,weibo,8,-0.087050095,-0.23375344
犯罪,weibo,8,-0.44564342,-0.111202314
權力,weibo,8,-0.09165007,0.25385723
每次,weibo,8,0.48878872,-0.12711692
尚,weibo,8,-0.2013975,-0.23081867
和平,weibo,8,-0.20491743,0.22402436
傾向,weibo,8,-0.18758988,0.2110175
幻想,weibo,8,-0.005782616,0.16363963
退出,weibo,8,-0.2792825,-0.18826512
留下,weibo,8,0.07768851,0.18034363
飛,weibo,8,0.211416,-0.20722203
楊,weibo,8,0.27936104,-0.26698864
表面,weibo,8,-0.016366491,0.22972967
條,weibo,8,0.057219427,-0.1337911
煮,weibo,8,0.3138798,-0.28655896
共同,weibo,8,-0.45038274,-0.19821548
電視,weibo,8,-0.020048385,-0.27124685
破壞,weibo,8,-0.42092043,0.24002026
有錢,weibo,8,0.3670683,0.033704743
引發,weibo,8,-0.3262126,0.03133965
障礙,weibo,8,-0.07276038,0.2067653
盒,weibo,8,0.050760698,-0.59634405
病毒,weibo,8,-0.44012982,0.017954338
億,weibo,8,-0.32419974,-0.23445378
白宮,weibo,8,-0.22735436,0.20396872
看似,weibo,8,0.1902917,0.10672724
算,weibo,8,0.2575516,0.05628663
洗澡,weibo,8,-0.021315532,-0.019056618
老闆,weibo,8,0.07567344,-0.21929368
