word,src,timestep,PC1,PC2
留下,weibo,8,0.110744916,0.22923122
15,weibo,8,-0.30430642,-0.33707508
系列,weibo,8,-0.15104194,-0.3258575
等,weibo,8,-0.21070379,-0.2375644
暫時,weibo,8,0.071228765,0.14950758
煎,weibo,8,0.31778094,-0.377589
不見,weibo,8,0.07433531,0.05758563
嚴峻,weibo,8,-0.23602988,0.33204824
辦,weibo,8,0.2761429,-0.06361755
種,weibo,8,0.016905852,-0.36354002
用心,weibo,8,0.39401746,-0.11983523
總理,weibo,8,-0.24624613,0.15615101
參加,weibo,8,-0.18960218,-0.29272297
少年,weibo,8,0.089325726,-0.37922174
紅色,weibo,8,0.37475917,-0.03756672
德國,weibo,8,-0.23748162,-0.27958772
五年,weibo,8,-0.2342378,0.023527695
被迫,weibo,8,-0.27238354,-0.16379231
管制,weibo,8,-0.4243142,0.2430428
公民,weibo,8,-0.33257303,0.268339
陪伴,weibo,8,0.28495255,-0.012377245
措施,weibo,8,-0.45105463,0.3801674
美,weibo,8,-0.21379997,-0.059998322
秒,weibo,8,-0.07937644,-0.3795517
種子,weibo,8,0.13631073,-0.12552007
正常,weibo,8,-0.09597103,0.18838581
毛,weibo,8,0.2196629,-0.13608989
搞,weibo,8,0.2152362,0.1834627
可見,weibo,8,-0.020245712,0.253761
全力,weibo,8,-0.47616032,0.16486561
聽到,weibo,8,0.36909264,-0.08229587
光,weibo,8,0.05159075,-0.20139164
走出,weibo,8,0.043895364,-0.0630177
將會,weibo,8,-0.4900853,0.12268776
菜,weibo,8,0.36682886,-0.20270002
中華人民共和國,weibo,8,-0.39024884,-0.048552487
便當,weibo,8,0.28007022,-0.33245817
李,weibo,8,0.12058354,-0.19539389
新冠,weibo,8,-0.48095676,-0.13012661
早期,weibo,8,-0.02818896,-0.19616012
腦子,weibo,8,0.495118,0.014302591
形勢,weibo,8,-0.19681165,0.37264508
超越,weibo,8,-0.2236284,0.0067988224
所在,weibo,8,-0.20194957,0.2557074
改善,weibo,8,0.28760198,0.04849031
工具,weibo,8,-0.33843222,0.16290279
基礎,weibo,8,-0.24923111,0.23807438
泰國,weibo,8,0.018174693,-0.32469636
授權,weibo,8,-0.3144281,-0.27736568
理想,weibo,8,0.0705915,0.19626687
三年,weibo,8,0.118510224,-0.039910737
