collo_1,collo_2,MI,Xsq,Gsq,count,src,timestep
。,日本,1.1984466355820067,13.336040284113018,9.77702054175922,18,ptt,7
的,日本,0.5208263229273797,3.675823559008287,3.2501659778149197,27,ptt,7
，,日本,-0.08816801571980049,-0.11851033358978182,-0.12078613561862328,30,ptt,7
日本,人,4.316227303869909,921.0074402478072,212.86345179895443,51,ptt,7
日本,、,2.196457625559848,62.16985712507169,33.1255472892164,22,ptt,7
日本,也,1.6834322284197645,18.4042247526565,11.602700970893373,12,ptt,7
日本,的,0.7862892898272889,10.383002835167066,8.578201163727673,33,ptt,7
日本,，,-1.0167808782020884,-8.757086366688641,-10.666632061816998,16,ptt,7
在,美國,2.6520379511253425,367.8952865596508,167.0403420270107,82,ptt,7
],美國,4.272302786664243,348.32385701737473,81.34463155804622,20,ptt,7
與,美國,3.0962521532170237,194.11751654257688,73.98282447225228,29,ptt,7
對,美國,3.1252275552287156,192.21396144134707,72.4235421139578,28,ptt,7
，,美國,0.8863420095261495,70.08727025532393,56.75848119656217,170,ptt,7
跟,美國,2.53775579330068,95.89467035586182,45.098518388331684,24,ptt,7
是,美國,1.5191506549218903,65.21687085357588,43.42072011142197,53,ptt,7
向,美國,3.9731819489271882,151.78407614733138,40.31628361330279,11,ptt,7
讓,美國,2.6533604178864065,84.85136417826644,38.22586816824398,19,ptt,7
。,美國,1.2554188210199295,44.195954296217806,31.881580728418342,54,ptt,7
被,美國,2.0895592892939634,52.55601956537153,28.942510578536858,21,ptt,7
和,美國,2.3868596978312095,48.05752920029263,23.83666110967829,14,ptt,7
到,美國,1.7534604584592701,21.773959338827705,13.398700498358934,13,ptt,7
「,美國,1.1998709544406134,15.492003462424682,11.323659678500942,21,ptt,7
？,美國,1.1712575440304387,11.203621632784598,8.254319449562558,16,ptt,7
就是,美國,1.3277268252829346,9.121632718556477,6.41114175134871,10,ptt,7
為,美國,1.1694024810934116,7.666840255408718,5.648994970920537,11,ptt,7
了,美國,0.5179225559972591,2.3662723312296534,2.0868957916577244,18,ptt,7
、,美國,0.40065576418094895,1.4108472437120323,1.281849373477833,18,ptt,7
有,美國,0.22336995007611216,0.3148451964112011,0.298743497643553,13,ptt,7
:,美國,-0.08306675677704402,-0.060466185466055825,-0.06161150504111301,18,ptt,7
的,美國,-0.40449948990123846,-3.356207862905261,-3.6583377052495045,41,ptt,7
美國,衛生部長,8.573586594762247,15946.356943648152,454.1484976516535,42,ptt,7
美國,爸爸,7.992539144044474,10379.148045486118,395.25699734790845,41,ptt,7
美國,人,3.5164114229349774,805.3873101998635,261.04605490099567,84,ptt,7
美國,總統,5.181756486644728,1617.2670479701362,250.3215324680138,47,ptt,7
美國,學者,7.260428709502616,3335.3584251012016,184.4351847349349,22,ptt,7
美國,國務卿,8.699117476846105,6629.6893629991855,177.53028888314944,16,ptt,7
美國,返台,6.717976504097422,1448.585549084124,105.46592182993865,14,ptt,7
美國,制裁,6.21513262384977,941.7124218784684,88.17672799817562,13,ptt,7
美國,部長,5.795979016098695,751.5186901826127,86.4617373538435,14,ptt,7
美國,官員,4.895514689649609,278.5211187844535,49.08808986698452,10,ptt,7
美國,的,1.003546922251298,57.32258455053,44.69957055254878,110,ptt,7
美國,對,2.5531670535233135,77.03104444485231,36.00343521008502,19,ptt,7
美國,和,2.4729826538238413,56.16623344269576,27.01414682760275,15,ptt,7
美國,國家,2.6828156645170047,45.88971949124048,20.428348983336466,10,ptt,7
美國,也,1.2792014840975034,21.990298115791784,15.70724361214521,26,ptt,7
美國,與,1.8105587040098443,21.594778766863836,13.042106226761238,12,ptt,7
美國,在,0.6764614418526749,4.746486919996192,4.016959056253636,21,ptt,7
美國,、,0.46524555862393907,2.012615643146607,1.7991250946128208,19,ptt,7
美國,就,0.38266451202489443,0.8552478217500035,0.7803442202055573,12,ptt,7
美國,是,0.10231783058866402,0.10191340504578442,0.09953495809557955,20,ptt,7
美國,有,0.09537875055190027,0.05290354637190945,0.051747525797837035,12,ptt,7
美國,都,0.10001612528179192,0.04842564983305431,0.047314801159626496,10,ptt,7
美國,，,-1.407205822999319,-38.13506493952607,-49.46493023596709,35,ptt,7
撐,香港,9.410147464431034,27153.890968804477,464.65213099230317,40,ptt,7
消費,香港,7.207422076550664,1604.9808642873274,89.2869504420868,11,ptt,7
支持,香港,5.083112479110584,383.5850654210103,61.73085747379322,12,ptt,7
對,香港,3.6956096369592544,165.92035979979005,49.58048678901811,15,ptt,7
在,香港,2.3502948554080394,79.74619864226797,40.27323232780199,24,ptt,7
、,香港,1.7890400121686003,29.92539317312367,18.259066166389193,17,ptt,7
「,香港,1.737831558478775,18.094522053645107,11.20487782522113,11,ptt,7
。,香港,1.141302728478398,12.031008213301943,8.96701864434899,18,ptt,7
:,香港,0.9182943681013603,5.5119409982548095,4.371798705426997,13,ptt,7
的,香港,0.5667759087878744,4.6849318301851355,4.095056027937968,29,ptt,7
是,香港,0.5840047034256781,1.680317038928958,1.4574236239415068,10,ptt,7
，,香港,0.11772248301038464,0.2536007381293899,0.24710067641666988,36,ptt,7
香港,人,4.557888058911137,1345.521249032358,279.7657415432597,62,ptt,7
香港,眾志,10.375112438017654,13269.166736228448,136.82709436198706,10,ptt,7
香港,議題,6.491305455522176,1232.76016300188,99.39516318823047,14,ptt,7
香港,的,1.5091398791522865,69.31411718020915,46.79353218845284,56,ptt,7
香港,，,-0.012496972217787899,-0.002618278450060439,-0.0026254051967362635,33,ptt,7
#,臺灣,2.582872653512239,5022.697994527197,2389.550404409889,1175,weibo,9
在,臺灣,2.883014419754755,5599.713374903825,2384.8087206899268,992,weibo,9
解放,臺灣,5.608496646475446,11934.70492185709,1721.8969811114664,251,weibo,9
收復,臺灣,5.738744410277608,9974.81922480982,1375.6601300824416,191,weibo,9
大會,臺灣,5.548896915859478,8015.026962915838,1180.8894115364878,176,weibo,9
